Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,2.666666667,0.05,0.14,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,627.5,0.02,0.05,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
1,0,0,0,0,0,0.2,0.2,0,0,Feb,1,2,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,37,0,0.1,0,0.8,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,738,0,0.022222222,0,0.4,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,395,0,0.066666667,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,280.5,0,0.028571429,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,98,0,0.066666667,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,68,0,0.1,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
2,53,0,0,23,1668.285119,0.008333333,0.016312636,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,334.9666667,0,0.007692308,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,32,0,0.1,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,2981.166667,0,0.01,0,0,Feb,2,4,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,136.1666667,0,0.008333333,0,1,Feb,2,2,5,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,105,0,0.033333333,0,0,Feb,3,2,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,15,0,0.1,0,0.8,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,2,2,4,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,156,0,0.04,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
4,64.6,0,0,32,1135.444444,0.002857143,0.00952381,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,76,0.05,0.1,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,63,0,0.05,0,0.2,Feb,2,6,1,3,Returning_Visitor,FALSE,FALSE
1,6,1,0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,35,0,0.1,0,0,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,78,0,0.066666667,0,0,Feb,1,2,6,6,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,209.5,0,0.025,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,183.6666667,0.04,0.08,0,0,Feb,1,1,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,380.5,0.014285714,0.028571429,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,Feb,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,388,0.025,0.05625,0,0,Feb,3,2,1,4,Returning_Visitor,TRUE,FALSE
2,18,0,0,5,298,0,0.028571429,0,0.8,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,63,0.028571429,0.071428571,0,0.6,Feb,2,2,1,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,9,482,0,0.022222222,0,0,Feb,2,5,1,6,Returning_Visitor,FALSE,FALSE
1,9,0,0,46,4084.393939,0,0.001794872,0,0,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,22,0,0.066666667,0,0.6,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,310.1666667,0,0.006666667,0,0,Feb,1,1,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34,0,0.05,0,0.4,Feb,3,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,88,0,0.05,0,0,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,Feb,2,5,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,222.4,0.017142857,0.057142857,0,0,Feb,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,80,0.066666667,0.133333333,0,0.2,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,800.8333333,0,0.003636364,0,0,Feb,3,2,1,3,Returning_Visitor,FALSE,TRUE
